,geo,year,siec,fuel,unit,GFC_ELC,GEP_RED,electricity_consumption,GHP_RED,FC_IND_OTH_E,GFC_HEAT_CL_E,heat_consumption,FC_TRA_OTH_E_RED,FC_TRA_RAIL_E_RED,FC_TRA_ROAD_E_RED,GFC_TRA_E_NMULTI,GFC_TRA_E_MULTI,transport_consumption,all_sectors_consumption
128,AT,2010,R5300,Biogases,TJ,,"2326,158","2326,158","307,47859199999994","912,554928",,"1220,03352","0,0","0,0","0,083736",,,"0,083736","3546,2752559999994"
129,AT,2010,RA000,Renewables and biofuels,TJ,,"168108,498","168108,498",,,"185027,210532","185027,210532",,,,"28362,053088000004","36479,462796","28362,053088000004","381497,76162"
130,AT,2010,TOTAL,Total,TJ,"253330,7472",,"253330,7472",,,"597933,194652","597933,194652",,,,"332632,9282679999","340606,73073599994","332632,9282679999","1183896,87012"
131,AT,2010,W6210,Renewable municipal waste,TJ,,"770,2668000000001","770,2668000000001","2034,0311760000002","0,0",,"2034,0311760000002",,,,,,,"2804,297976"
132,AT,2011,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"13359,816","13359,816","31968,730079999998","128909,604204",,"160878,334284",,,,,,,"174238,150284"
133,AT,2011,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","111,62008800000002","20729,181744",,,"20840,801832","20840,801832"
134,AT,2011,R5300,Biogases,TJ,,"2250,414","2250,414","287,047008","1027,02204",,"1314,0690480000003","0,0","0,0","0,293076",,,"0,293076","3564,7761240000004"
135,AT,2011,RA000,Renewables and biofuels,TJ,,"169405,4988","169405,4988",,,"179744,26442400002","179744,26442400002",,,,"24935,408496","33049,13382","24935,408496","374085,17172"
136,AT,2011,TOTAL,Total,TJ,"253690,03079999998",,"253690,03079999998",,,"569981,4060960001","569981,4060960001",,,,"319871,059452","327835,5672240001","319871,059452","1143542,4963480001"
137,AT,2011,W6210,Renewable municipal waste,TJ,,"761,6880000000001","761,6880000000001","2251,828512","0,0",,"2251,828512",,,,,,,"3013,516512"
138,AT,2012,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"13670,748","13670,748","35125,326071999996","133153,972704",,"168279,298776",,,,,,,"181950,04677600003"
139,AT,2012,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","119,909952","20435,268384000003",,,"20555,178336","20555,178336"
140,AT,2012,R5300,Biogases,TJ,,"2310,0192","2310,0192","298,64444399999996","1348,735752",,"1647,3801959999998","0,0","0,0","0,460548",,,"0,460548","3957,8599440000003"
141,AT,2012,RA000,Renewables and biofuels,TJ,,"173612,17440000002","173612,17440000002",,,"188579,291652","188579,291652",,,,"25321,892004","32840,04502800001","25321,892004","387513,358056"
142,AT,2012,TOTAL,Total,TJ,"257444,0064",,"257444,0064",,,"572130,6580080001","572130,6580080001",,,,"319884,83402400004","327260,38464","319884,83402400004","1149459,4984320002"
143,AT,2012,W6210,Renewable municipal waste,TJ,,"862,5528","862,5528","2059,319448","0,0",,"2059,319448",,,,,,,"2921,8722480000006"
144,AT,2013,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"13744,1916","13744,1916","35038,03129199999","137758,950288",,"172796,98158",,,,,,,"186541,17317999998"
145,AT,2013,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","98,68287600000001","20930,566824",,,"21029,249700000004","21029,249700000004"
146,AT,2013,R5300,Biogases,TJ,,"2242,0331999999994","2242,0331999999994","265,44312","1473,5442600000001",,"1738,98738","0,0","0,0","0,7536240000000001",,,"0,7536240000000001","3981,774204"
147,AT,2013,RA000,Renewables and biofuels,TJ,,"178273,82880000002","178273,82880000002",,,"194043,23312400002","194043,23312400002",,,,"25967,329092000004","33504,573924000004","25967,329092000004","398284,39101600007"
148,AT,2013,TOTAL,Total,TJ,"258716,02320000005",,"258716,02320000005",,,"580385,31102","580385,31102",,,,"338087,53317599994","345482,510544","338087,53317599994","1177188,867396"
149,AT,2013,W6210,Renewable municipal waste,TJ,,"918,3204","918,3204","1949,457816","0,0",,"1949,457816",,,,,,,"2867,778216"
150,AT,2014,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"12971,808000000003","12971,808000000003","33706,545156","125058,66930000001",,"158765,21445600002",,,,,,,"171737,02245600004"
151,AT,2014,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","107,60076","24864,358500000002",,,"24971,959260000003","24971,959260000003"
152,AT,2014,R5300,Biogases,TJ,,"2207,8584","2207,8584","194,35125600000003","1853,8731720000003",,"2048,2244280000004","0,0","0,0","23,027400000000004",,,"23,027400000000004","4279,1102280000005"
153,AT,2014,RA000,Renewables and biofuels,TJ,,"181331,92799999999","181331,92799999999",,,"181394,24043600002","181394,24043600002",,,,"30377,411136000002","37822,797576","30377,411136000002","393103,57957199996"
154,AT,2014,TOTAL,Total,TJ,"255193,91640000005",,"255193,91640000005",,,"540058,513968","540058,513968",,,,"336999,71880000003","344305,89414","336999,71880000003","1132252,1491679999"
155,AT,2014,W6210,Renewable municipal waste,TJ,,"1191,6684","1191,6684","2119,77684","0,0",,"2119,77684",,,,,,,"3311,4452400000005"
156,AT,2015,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"13362,436799999998","13362,436799999998","35427,696768","128492,389584",,"163920,08635199998",,,,,,,"177282,52315199998"
157,AT,2015,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","102,61846800000001","27242,502767999995",,,"27345,121235999995","27345,121235999995"
158,AT,2015,R5300,Biogases,TJ,,"2280,6864","2280,6864","145,32382800000002","1942,549596",,"2087,873424","0,0","0,0","17,417088",,,"17,417088","4385,976912"
159,AT,2015,RA000,Renewables and biofuels,TJ,,"185098,4712","185098,4712",,,"188060,37966","188060,37966",,,,"34483,99204800001","40261,566708","34483,99204800001","407642,842908"
160,AT,2015,TOTAL,Total,TJ,"258934,56120000003",,"258934,56120000003",,,"564551,293968","564551,293968",,,,"345456,59425200004","352969,974324","345456,59425200004","1168942,44942"
161,AT,2015,W6210,Renewable municipal waste,TJ,,"1088,0676","1088,0676","2403,934956","0,0",,"2403,934956",,,,,,,"3492,0025560000004"
