geo,year,siec,fuel,unit,electricity_consumption,heat_consumption,transport_consumption,all_sectors_consumption
AT,2018,R5110-5150_W6000RI,Primary solid biofuels,TJ,"14276,098800000002","162777,006216",,"177053,10501600002"
AT,2018,R5200,Liquid biofuels,TJ,,,"19739,380356","19739,380356"
AT,2018,R5300,Biogases,TJ,"2261,9268","1863,0841320000002","15,826104","4140,837036"
AT,2018,RA000,Renewables and biofuels,TJ,"194517,6552","190390,71067200002","27822,54204","412730,9079120001"
AT,2018,TOTAL,Total,TJ,"266277,474","560316,680712","360438,220692","1187032,3754039998"
AT,2018,W6210,Renewable municipal waste,TJ,"1208,8944000000004","2691,149436",,"3900,0438360000007"
BA,2004,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7622,990496",,"7622,990496"
BA,2004,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2004,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2004,RA000,Renewables and biofuels,TJ,"15199,653600000001","7622,990496","0,0","22822,644096000004"
BA,2004,TOTAL,Total,TJ,"37641,6","40459,141800000005","32981,014584000004","111081,75638400001"
BA,2004,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2005,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7609,006584000001",,"7609,006584000001"
BA,2005,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2005,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2005,RA000,Renewables and biofuels,TJ,"15869,0736","7609,006584000001","0,0","23478,080184"
BA,2005,TOTAL,Total,TJ,"39265,200000000004","46012,80639600001","31777,016508000008","117055,02290400001"
BA,2005,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2006,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7599,000132",,"7599,000132"
BA,2006,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2006,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2006,RA000,Renewables and biofuels,TJ,"16105,233600000001","7599,000132","0,0","23704,233732"
BA,2006,TOTAL,Total,TJ,"40266,0","42082,447896","39732,020244","122080,46814"
BA,2006,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2007,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7586,984016",,"7586,984016"
BA,2007,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2007,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2007,RA000,Renewables and biofuels,TJ,"16335,6696","7586,984016","0,0","23922,653616"
BA,2007,TOTAL,Total,TJ,"40226,4","45068,138712","41967,98078400001","127262,51949600001"
BA,2007,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2008,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7537,998456",,"7537,998456"
BA,2008,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2008,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2008,RA000,Renewables and biofuels,TJ,"16965,1332","7537,998456","135,35924400000002","24638,4909"
BA,2008,TOTAL,Total,TJ,"47440,799999999996","53448,563196","46821,403080000004","147710,766276"
BA,2008,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2009,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7530,001668000001",,"7530,001668000001"
BA,2009,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2009,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2009,RA000,Renewables and biofuels,TJ,"17732,718","7530,001668000001","143,272296","25405,991964000004"
BA,2009,TOTAL,Total,TJ,"45640,8","44271,139464","48340,792799999996","138252,732264"
BA,2009,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2010,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7504,9646040000025",,"7504,9646040000025"
BA,2010,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2010,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2010,RA000,Renewables and biofuels,TJ,"19420,628400000005","7505,006472000003","175,09197600000002","27100,72684800001"
BA,2010,TOTAL,Total,TJ,"47861,99999999999","50463,458532000004","47230,620911999984","145556,07944399997"
BA,2010,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2011,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7492,990355999999",,"7492,990355999999"
BA,2011,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2011,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2011,RA000,Renewables and biofuels,TJ,"19250,560800000007","7492,990356000001","194,43499200000002","26937,986148000007"
BA,2011,TOTAL,Total,TJ,"49593,6","53455,30394400001","47241,380988","150290,28493199998"
BA,2011,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2012,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7487,003232000001",,"7487,003232000001"
BA,2012,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2012,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2012,RA000,Renewables and biofuels,TJ,"18561,470400000002","7487,003232000001","156,29324400000002","26204,766875999998"
BA,2012,TOTAL,Total,TJ,"50360,4","51552,277740000005","44116,185996","146028,863736"
BA,2012,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2013,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7465,985495999999",,"7465,985495999999"
BA,2013,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
