geo,year,siec,fuel,unit,GFC_ELC,GEP_RED,electricity_consumption,GHP_RED,FC_IND_OTH_E,GFC_HEAT_CL_E,heat_consumption,FC_TRA_OTH_E_RED,FC_TRA_RAIL_E_RED,FC_TRA_ROAD_E_RED,GFC_TRA_E_NMULTI,GFC_TRA_E_MULTI,transport_consumption,all_sectors_consumption
AT,2004,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"146,14264832330178","146,14264832330178","250,669","2297,65",,"2548,319",,,,,,,"2694,4616483233017"
AT,2004,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AT,2004,R5300,Biogases,KTOE,,"5,065262252794496","5,065262252794496","1,863","8,551",,"10,414","0,0","0,0","0,0",,,"0,0","15,479262252794495"
AT,2004,RA000,Renewables and biofuels,KTOE,,"3445,7609630266547","3445,7609630266547",,,"2705,311","2705,311",,,,"185,829","368,876","185,829","6336,900963026655"
AT,2004,TOTAL,Total,KTOE,"5591,499656061908",,"5591,499656061908",,,"13415,771","13415,771",,,,"7957,056","8136,923000000002","7957,056","26964,32665606191"
AT,2004,W6210,Renewable municipal waste,KTOE,,"11,340584694754943","11,340584694754943","28,47","0,0",,"28,47",,,,,,,"39,810584694754944"
AT,2005,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"165,70326741186585","165,70326741186585","263,837","2654,562",,"2918,399",,,,,,,"3084,102267411866"
AT,2005,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,509","73,258",,,"73,767","73,767"
AT,2005,R5300,Biogases,KTOE,,"26,739466895958728","26,739466895958728","5,341","19,437",,"24,778000000000002","0,0","0,0","0,0",,,"0,0","51,517466895958734"
AT,2005,RA000,Renewables and biofuels,KTOE,,"3629,704299226139","3629,704299226139",,,"3177,902","3177,902",,,,"255,124","426,984","255,124","7062,730299226139"
AT,2005,TOTAL,Total,KTOE,"5770,706534823731",,"5770,706534823731",,,"13900,476","13900,476",,,,"8253,876","8422,862","8253,876","27925,058534823733"
AT,2005,W6210,Renewable municipal waste,KTOE,,"12,061306964746345","12,061306964746345","27,694000000000006","0,0",,"27,694000000000006",,,,,,,"39,75530696474635"
AT,2006,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"218,7906276870163","218,7906276870163","335,334","2803,397",,"3138,7309999999998",,,,,,,"3357,521627687016"
AT,2006,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,125","253,938",,,"256,063","256,063"
AT,2006,R5300,Biogases,KTOE,,"35,39905417024935","35,39905417024935","7,921","14,575",,"22,496","0,0","0,0","0,0",,,"0,0","57,89505417024935"
AT,2006,RA000,Renewables and biofuels,KTOE,,"3749,6106620808255","3749,6106620808255",,,"3440,145","3440,145",,,,"442,347","617,751","442,347","7632,102662080825"
AT,2006,TOTAL,Total,KTOE,"5874,420636285469",,"5874,420636285469",,,"14007,853","14007,853",,,,"8027,811","8200,303","8027,811","27910,08463628547"
AT,2006,W6210,Renewable municipal waste,KTOE,,"18,13439380911436","18,13439380911436","27,426","0,0",,"27,426",,,,,,,"45,56039380911436"
AT,2007,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"272,01453138435085","272,01453138435085","407,703","2937,199",,"3344,902",,,,,,,"3616,916531384351"
AT,2007,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,364","319,731",,,"322,09499999999997","322,09499999999997"
AT,2007,R5300,Biogases,KTOE,,"51,76216680997421","51,76216680997421","8,495","17,74",,"26,235","0,0","0,0","0,0",,,"0,0","77,9971668099742"
AT,2007,RA000,Renewables and biofuels,KTOE,,"3893,316165090284","3893,316165090284",,,"3675,619","3675,619",,,,"510,266","685,3860000000002","510,266","8079,201165090284"
AT,2007,TOTAL,Total,KTOE,"5929,1227858985385",,"5929,1227858985385",,,"13509,055","13509,055",,,,"8144,02","8316,271999999999","8144,02","27582,197785898537"
AT,2007,W6210,Renewable municipal waste,KTOE,,"19,089423903697334","19,089423903697334","29,739","0,0",,"29,739",,,,,,,"48,828423903697335"
AT,2008,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"285,1515907136715","285,1515907136715","530,559","2906,921",,"3437,4799999999996",,,,,,,"3722,631590713671"
AT,2008,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,402","392,807",,,"395,209","395,209"
AT,2008,R5300,Biogases,KTOE,,"51,7579535683577","51,7579535683577","9,517","26,219",,"35,736000000000004","0,0","0,0","0,0",,,"0,0","87,49395356835771"
AT,2008,RA000,Renewables and biofuels,KTOE,,"3929,8414445399826","3929,8414445399826",,,"3808,044","3808,044",,,,"585,344","771,7139999999998","585,344","8323,229444539982"
AT,2008,TOTAL,Total,KTOE,"5965,325365434222",,"5965,325365434222",,,"13935,313999999997","13935,313999999997",,,,"7868,142","8051,405","7868,142","27768,781365434217"
AT,2008,W6210,Renewable municipal waste,KTOE,,"17,538435081685297","17,538435081685297","33,963","0,0",,"33,963",,,,,,,"51,5014350816853"
AT,2009,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"293,5487532244196","293,5487532244196","580,464","2931,64",,"3512,104",,,,,,,"3805,6527532244195"
