geo,year,siec,unit,GEP_NPUMP_MIX,GEP_RED,GFC_ELC,NMLPRD_MIX,NMLPRD_PURE
AL,2007,TOTAL,GWH,,,"5688,0",,
AL,2007,W6210,GWH,,"0,0",,,
AL,2008,E7000,GWH,"0,0",,,"0,0","4567,255"
AL,2008,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2008,R5292P,GWH,,"0,0",,,
AL,2008,R5292SB,GWH,,"0,0",,,
AL,2008,R5292SP,GWH,,"0,0",,,
AL,2008,R5293SB,GWH,,"0,0",,,
AL,2008,R5293SP,GWH,,"0,0",,,
AL,2008,R5300,GWH,,"0,0",,,
AL,2008,R5300B,GWH,,"0,0",,,
AL,2008,RA000,GWH,,"4567,255",,,
AL,2008,RA100,GWH,,"4567,255",,,
AL,2008,RA200,GWH,,"0,0",,,
AL,2008,RA300,GWH,,"0,0",,,
AL,2008,RA410,GWH,,"0,0",,,
AL,2008,RA420,GWH,,"0,0",,,
AL,2008,RA500,GWH,,"0,0",,,
AL,2008,TOTAL,GWH,,,"6231,0",,
AL,2008,W6210,GWH,,"0,0",,,
AL,2009,E7000,GWH,"0,0",,,"0,0","4667,82"
AL,2009,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2009,R5292P,GWH,,"0,0",,,
AL,2009,R5292SB,GWH,,"0,0",,,
AL,2009,R5292SP,GWH,,"0,0",,,
AL,2009,R5293SB,GWH,,"0,0",,,
AL,2009,R5293SP,GWH,,"0,0",,,
AL,2009,R5300,GWH,,"0,0",,,
AL,2009,R5300B,GWH,,"0,0",,,
AL,2009,RA000,GWH,,"4667,82",,,
AL,2009,RA100,GWH,,"4667,82",,,
AL,2009,RA200,GWH,,"0,0",,,
AL,2009,RA300,GWH,,"0,0",,,
AL,2009,RA410,GWH,,"0,0",,,
AL,2009,RA420,GWH,,"0,0",,,
AL,2009,RA500,GWH,,"0,0",,,
AL,2009,TOTAL,GWH,,,"6601,0",,
AL,2009,W6210,GWH,,"0,0",,,
AL,2010,E7000,GWH,"0,0",,,"0,0","4938,965"
AL,2010,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2010,R5292P,GWH,,"0,0",,,
AL,2010,R5292SB,GWH,,"0,0",,,
AL,2010,R5292SP,GWH,,"0,0",,,
AL,2010,R5293SB,GWH,,"0,0",,,
AL,2010,R5293SP,GWH,,"0,0",,,
AL,2010,R5300,GWH,,"0,0",,,
AL,2010,R5300B,GWH,,"0,0",,,
AL,2010,RA000,GWH,,"4938,965",,,
AL,2010,RA100,GWH,,"4938,965",,,
AL,2010,RA200,GWH,,"0,0",,,
AL,2010,RA300,GWH,,"0,0",,,
AL,2010,RA410,GWH,,"0,0",,,
AL,2010,RA420,GWH,,"0,0",,,
AL,2010,RA500,GWH,,"0,0",,,
AL,2010,TOTAL,GWH,,,"6619,0",,
AL,2010,W6210,GWH,,"0,0",,,
AL,2011,E7000,GWH,"0,0",,,"0,0","4928,748"
AL,2011,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2011,R5292P,GWH,,"0,0",,,
AL,2011,R5292SB,GWH,,"0,0",,,
AL,2011,R5292SP,GWH,,"0,0",,,
AL,2011,R5293SB,GWH,,"0,0",,,
AL,2011,R5293SP,GWH,,"0,0",,,
AL,2011,R5300,GWH,,"0,0",,,
AL,2011,R5300B,GWH,,"0,0",,,
AL,2011,RA000,GWH,,"4928,748",,,
AL,2011,RA100,GWH,,"4928,748",,,
AL,2011,RA200,GWH,,"0,0",,,
AL,2011,RA300,GWH,,"0,0",,,
AL,2011,RA410,GWH,,"0,0",,,
AL,2011,RA420,GWH,,"0,0",,,
AL,2011,RA500,GWH,,"0,0",,,
AL,2011,TOTAL,GWH,,,"7453,0",,
AL,2011,W6210,GWH,,"0,0",,,
AL,2012,E7000,GWH,"0,0",,,"0,0","5260,384"
AL,2012,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2012,R5292P,GWH,,"0,0",,,
AL,2012,R5292SB,GWH,,"0,0",,,
AL,2012,R5292SP,GWH,,"0,0",,,
AL,2012,R5293SB,GWH,,"0,0",,,
AL,2012,R5293SP,GWH,,"0,0",,,
AL,2012,R5300,GWH,,"0,0",,,
AL,2012,R5300B,GWH,,"0,0",,,
AL,2012,RA000,GWH,,"5260,384",,,
AL,2012,RA100,GWH,,"5260,384",,,
AL,2012,RA200,GWH,,"0,0",,,
AL,2012,RA300,GWH,,"0,0",,,
AL,2012,RA410,GWH,,"0,0",,,
AL,2012,RA420,GWH,,"0,0",,,
AL,2012,RA500,GWH,,"0,0",,,
AL,2012,TOTAL,GWH,,,"7263,0",,
AL,2012,W6210,GWH,,"0,0",,,
AL,2013,E7000,GWH,"0,0",,,"0,0","5816,566"
AL,2013,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2013,R5292P,GWH,,"0,0",,,
AL,2013,R5292SB,GWH,,"0,0",,,
AL,2013,R5292SP,GWH,,"0,0",,,
AL,2013,R5293SB,GWH,,"0,0",,,
AL,2013,R5293SP,GWH,,"0,0",,,
AL,2013,R5300,GWH,,"0,0",,,
AL,2013,R5300B,GWH,,"0,0",,,
AL,2013,RA000,GWH,,"5816,566",,,
AL,2013,RA100,GWH,,"5816,566",,,
AL,2013,RA200,GWH,,"0,0",,,
AL,2013,RA300,GWH,,"0,0",,,
AL,2013,RA410,GWH,,"0,0",,,
AL,2013,RA420,GWH,,"0,0",,,
AL,2013,RA500,GWH,,"0,0",,,
AL,2013,TOTAL,GWH,,,"9282,0",,
AL,2013,W6210,GWH,,"0,0",,,
AL,2014,E7000,GWH,"0,0",,,"0,0","5530,428000000001"
AL,2014,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2014,R5292P,GWH,,"0,0",,,
AL,2014,R5292SB,GWH,,"0,0",,,
AL,2014,R5292SP,GWH,,"0,0",,,
AL,2014,R5293SB,GWH,,"0,0",,,
AL,2014,R5293SP,GWH,,"0,0",,,
AL,2014,R5300,GWH,,"0,0",,,
AL,2014,R5300B,GWH,,"0,0",,,
AL,2014,RA000,GWH,,"5530,428000000001",,,
AL,2014,RA100,GWH,,"5530,428000000001",,,
AL,2014,RA200,GWH,,"0,0",,,
AL,2014,RA300,GWH,,"0,0",,,
AL,2014,RA410,GWH,,"0,0",,,
AL,2014,RA420,GWH,,"0,0",,,
AL,2014,RA500,GWH,,"0,0",,,
AL,2014,TOTAL,GWH,,,"7791,0",,
AL,2014,W6210,GWH,,"0,0",,,
AL,2015,E7000,GWH,"0,0",,,"0,0","5778,483"
AL,2015,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2015,R5292P,GWH,,"0,0",,,
AL,2015,R5292SB,GWH,,"0,0",,,
AL,2015,R5292SP,GWH,,"0,0",,,
AL,2015,R5293SB,GWH,,"0,0",,,
AL,2015,R5293SP,GWH,,"0,0",,,
AL,2015,R5300,GWH,,"0,0",,,
AL,2015,R5300B,GWH,,"0,0",,,
AL,2015,RA000,GWH,,"5778,483",,,
AL,2015,RA100,GWH,,"5778,483",,,
AL,2015,RA200,GWH,,"0,0",,,
AL,2015,RA300,GWH,,"0,0",,,
AL,2015,RA410,GWH,,"0,0",,,
AL,2015,RA420,GWH,,"0,0",,,
AL,2015,RA500,GWH,,"0,0",,,
AL,2015,TOTAL,GWH,,,"7294,0",,
AL,2015,W6210,GWH,,"0,0",,,
AL,2016,E7000,GWH,"0,0",,,"0,0","6354,823"
AL,2016,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2016,R5292P,GWH,,"0,0",,,
AL,2016,R5292SB,GWH,,"0,0",,,
AL,2016,R5292SP,GWH,,"0,0",,,
AL,2016,R5293SB,GWH,,"0,0",,,
AL,2016,R5293SP,GWH,,"0,0",,,
AL,2016,R5300,GWH,,"0,0",,,
AL,2016,R5300B,GWH,,"0,0",,,
AL,2016,RA000,GWH,,"6354,823",,,
AL,2016,RA100,GWH,,"6354,823",,,
AL,2016,RA200,GWH,,"0,0",,,
AL,2016,RA300,GWH,,"0,0",,,
AL,2016,RA410,GWH,,"0,0",,,
AL,2016,RA420,GWH,,"0,0",,,
AL,2016,RA500,GWH,,"0,0",,,
AL,2016,TOTAL,GWH,,,"7740,0",,
AL,2016,W6210,GWH,,"0,0",,,
AL,2017,E7000,GWH,"0,0",,,"0,0","6771,776"
AL,2017,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2017,R5292P,GWH,,"0,0",,,
AL,2017,R5292SB,GWH,,"0,0",,,
AL,2017,R5292SP,GWH,,"0,0",,,
AL,2017,R5293SB,GWH,,"0,0",,,
AL,2017,R5293SP,GWH,,"0,0",,,
AL,2017,R5300,GWH,,"0,0",,,
AL,2017,R5300B,GWH,,"0,0",,,
AL,2017,RA000,GWH,,"6772,976",,,
AL,2017,RA100,GWH,,"6771,776",,,
AL,2017,RA200,GWH,,"0,0",,,
AL,2017,RA300,GWH,,"0,0",,,
AL,2017,RA410,GWH,,"0,0",,,
AL,2017,RA420,GWH,,"1,2",,,
AL,2017,RA500,GWH,,"0,0",,,
AL,2017,TOTAL,GWH,,,"7440,807",,
AL,2017,W6210,GWH,,"0,0",,,
AL,2018,E7000,GWH,"0,0",,,"0,0","7061,99"
AL,2018,R5110-5150_W6000RI,GWH,,"0,0",,,
AL,2018,R5292P,GWH,,"0,0",,,
AL,2018,R5292SB,GWH,,"0,0",,,
AL,2018,R5292SP,GWH,,"0,0",,,
AL,2018,R5293SB,GWH,,"0,0",,,
AL,2018,R5293SP,GWH,,"0,0",,,
AL,2018,R5300,GWH,,"0,0",,,
AL,2018,R5300B,GWH,,"0,0",,,
AL,2018,RA000,GWH,,"7063,3240000000005",,,
AL,2018,RA100,GWH,,"7061,99",,,
AL,2018,RA200,GWH,,"0,0",,,
AL,2018,RA300,GWH,,"0,0",,,
AL,2018,RA410,GWH,,"0,0",,,
AL,2018,RA420,GWH,,"1,334",,,
AL,2018,RA500,GWH,,"0,0",,,
AL,2018,TOTAL,GWH,,,"7638,846",,
AL,2018,W6210,GWH,,"0,0",,,
AT,2004,E7000,GWH,"3754,119",,,"3855,6279999999997","33433,747"
AT,2004,R5110-5150_W6000RI,GWH,,"1699,639",,,
AT,2004,R5292P,GWH,,"22,055",,,
AT,2004,R5292SB,GWH,,"0,0",,,
AT,2004,R5292SP,GWH,,"0,0",,,
AT,2004,R5293SB,GWH,,"0,0",,,
AT,2004,R5293SP,GWH,,"0,0",,,
AT,2004,R5300,GWH,,"58,909",,,
AT,2004,R5300B,GWH,,"0,0",,,
AT,2004,RA000,GWH,,"40074,2",,,
AT,2004,RA100,GWH,,"37289,375",,,
AT,2004,RA200,GWH,,"1,976",,,
AT,2004,RA300,GWH,,"851,927",,,
AT,2004,RA410,GWH,,"0,0",,,
AT,2004,RA420,GWH,,"18,428",,,
AT,2004,RA500,GWH,,"0,0",,,
AT,2004,TOTAL,GWH,,,"65029,140999999996",,
AT,2004,W6210,GWH,,"131,891",,,
AT,2005,E7000,GWH,"3965,61",,,"3861,735","34557,312999999995"
AT,2005,R5110-5150_W6000RI,GWH,,"1927,129",,,
AT,2005,R5292P,GWH,,"56,47",,,
AT,2005,R5292SB,GWH,,"0,0",,,
AT,2005,R5292SP,GWH,,"0,0",,,
AT,2005,R5293SB,GWH,,"0,0",,,
AT,2005,R5293SP,GWH,,"0,0",,,
AT,2005,R5300,GWH,,"310,98",,,
AT,2005,R5300B,GWH,,"0,0",,,
AT,2005,RA000,GWH,,"42213,460999999996",,,
AT,2005,RA100,GWH,,"38419,047",,,
AT,2005,RA200,GWH,,"2,302",,,
AT,2005,RA300,GWH,,"1336,241",,,
AT,2005,RA410,GWH,,"0,0",,,
AT,2005,RA420,GWH,,"21,018",,,
AT,2005,RA500,GWH,,"0,0",,,
AT,2005,TOTAL,GWH,,,"67113,317",,
AT,2005,W6210,GWH,,"140,273",,,
AT,2006,E7000,GWH,"3263,9759999999997",,,"3821,6279999999997","34801,373"
AT,2006,R5110-5150_W6000RI,GWH,,"2544,535",,,
AT,2006,R5292P,GWH,,"67,313",,,
AT,2006,R5292SB,GWH,,"0,0",,,
AT,2006,R5292SP,GWH,,"0,0",,,
AT,2006,R5293SB,GWH,,"0,0",,,
AT,2006,R5293SP,GWH,,"0,0",,,
AT,2006,R5300,GWH,,"411,691",,,
AT,2006,R5300B,GWH,,"0,0",,,
AT,2006,RA000,GWH,,"43607,972",,,
AT,2006,RA100,GWH,,"38623,001000000004",,,
AT,2006,RA200,GWH,,"3,0610000000000004",,,
AT,2006,RA300,GWH,,"1725,0810000000001",,,
AT,2006,RA410,GWH,,"0,0",,,
AT,2006,RA420,GWH,,"22,386999999999997",,,
AT,2006,RA500,GWH,,"0,0",,,
AT,2006,TOTAL,GWH,,,"68319,512",,
AT,2006,W6210,GWH,,"210,903",,,
AT,2007,E7000,GWH,"3925,298",,,"3825,377","35428,498999999996"
AT,2007,R5110-5150_W6000RI,GWH,,"3163,5290000000005",,,
AT,2007,R5292P,GWH,,"71,663",,,
AT,2007,R5292SB,GWH,,"0,0",,,
AT,2007,R5292SP,GWH,,"0,0",,,
AT,2007,R5293SB,GWH,,"0,0",,,
AT,2007,R5293SP,GWH,,"0,0",,,
AT,2007,R5300,GWH,,"601,994",,,
AT,2007,R5300B,GWH,,"0,0",,,
AT,2007,RA000,GWH,,"45279,267",,,
AT,2007,RA100,GWH,,"39253,876000000004",,,
AT,2007,RA200,GWH,,"2,41",,,
AT,2007,RA300,GWH,,"1939,547",,,
AT,2007,RA410,GWH,,"0,0",,,
AT,2007,RA420,GWH,,"24,238000000000003",,,
AT,2007,RA500,GWH,,"0,0",,,
AT,2007,TOTAL,GWH,,,"68955,698",,
AT,2007,W6210,GWH,,"222,01",,,
AT,2008,E7000,GWH,"3832,0190000000002",,,"4227,155","35298,482"
AT,2008,R5110-5150_W6000RI,GWH,,"3316,313",,,
AT,2008,R5292P,GWH,,"36,084",,,
AT,2008,R5292SB,GWH,,"0,0",,,
AT,2008,R5292SP,GWH,,"0,0",,,
AT,2008,R5293SB,GWH,,"0,0",,,
AT,2008,R5293SP,GWH,,"0,0",,,
AT,2008,R5300,GWH,,"601,945",,,
AT,2008,R5300B,GWH,,"0,0",,,
AT,2008,RA000,GWH,,"45704,056",,,
AT,2008,RA100,GWH,,"39525,637",,,
AT,2008,RA200,GWH,,"1,6159999999999999",,,
AT,2008,RA300,GWH,,"1988,37",,,
AT,2008,RA410,GWH,,"0,0",,,
AT,2008,RA420,GWH,,"30,12",,,
AT,2008,RA500,GWH,,"0,0",,,
AT,2008,TOTAL,GWH,,,"69376,734",,
AT,2008,W6210,GWH,,"203,972",,,
AT,2009,E7000,GWH,"4419,345",,,"4417,87","35315,96"
AT,2009,R5110-5150_W6000RI,GWH,,"3413,972",,,
AT,2009,R5292P,GWH,,"39,823",,,
AT,2009,R5292SB,GWH,,"0,0",,,
AT,2009,R5292SP,GWH,,"0,0",,,
AT,2009,R5293SB,GWH,,"0,0",,,
AT,2009,R5293SP,GWH,,"0,0",,,
AT,2009,R5300,GWH,,"608,6030000000001",,,
AT,2009,R5300B,GWH,,"0,0",,,
AT,2009,RA000,GWH,,"46043,069",,,
AT,2009,RA100,GWH,,"39733,83",,,
AT,2009,RA200,GWH,,"1,511",,,
AT,2009,RA300,GWH,,"1982,34",,,
AT,2009,RA410,GWH,,"0,0",,,
AT,2009,RA420,GWH,,"48,915",,,
AT,2009,RA500,GWH,,"0,0",,,
AT,2009,TOTAL,GWH,,,"67095,019",,
AT,2009,W6210,GWH,,"214,075",,,
AT,2010,E7000,GWH,"3832,03",,,"4528,222","35565,583"
AT,2010,R5110-5150_W6000RI,GWH,,"3590,28",,,
AT,2010,R5292P,GWH,,"30,396",,,
AT,2010,R5292SB,GWH,,"0,0",,,
AT,2010,R5292SP,GWH,,"0,0",,,
AT,2010,R5293SB,GWH,,"0,0",,,
AT,2010,R5293SP,GWH,,"0,0",,,
AT,2010,R5300,GWH,,"646,155",,,
AT,2010,R5300B,GWH,,"0,0",,,
AT,2010,RA000,GWH,,"46696,805",,,
AT,2010,RA100,GWH,,"40093,804",,,
AT,2010,RA200,GWH,,"1,3980000000000001",,,
AT,2010,RA300,GWH,,"2031,996",,,
AT,2010,RA410,GWH,,"0,0",,,
AT,2010,RA420,GWH,,"88,81299999999999",,,
AT,2010,RA500,GWH,,"0,0",,,
AT,2010,TOTAL,GWH,,,"70369,652",,
AT,2010,W6210,GWH,,"213,963",,,
AT,2011,E7000,GWH,"3100,0559999999996",,,"4639,644","35587,834"
AT,2011,R5110-5150_W6000RI,GWH,,"3711,06",,,
AT,2011,R5292P,GWH,,"11,921",,,
AT,2011,R5292SB,GWH,,"0,0",,,
AT,2011,R5292SP,GWH,,"0,0",,,
AT,2011,R5293SB,GWH,,"0,0",,,
AT,2011,R5293SP,GWH,,"0,0",,,
AT,2011,R5300,GWH,,"625,115",,,
AT,2011,R5300B,GWH,,"0,0",,,
AT,2011,RA000,GWH,,"47057,083",,,
AT,2011,RA100,GWH,,"40227,477999999996",,,
AT,2011,RA200,GWH,,"1,053",,,
AT,2011,RA300,GWH,,"2106,7270000000003",,,
AT,2011,RA410,GWH,,"0,0",,,
AT,2011,RA420,GWH,,"174,07",,,
AT,2011,RA500,GWH,,"0,0",,,
AT,2011,TOTAL,GWH,,,"70469,453",,
AT,2011,W6210,GWH,,"211,58",,,
AT,2012,E7000,GWH,"4626,9259999999995",,,"4688,663","36106,941"
AT,2012,R5110-5150_W6000RI,GWH,,"3797,43",,,
AT,2012,R5292P,GWH,,"0,405",,,
AT,2012,R5292SB,GWH,,"0,0",,,
AT,2012,R5292SP,GWH,,"0,0",,,
AT,2012,R5293SB,GWH,,"0,0",,,
AT,2012,R5293SP,GWH,,"0,0",,,
AT,2012,R5300,GWH,,"641,672",,,
AT,2012,R5300B,GWH,,"0,0",,,
AT,2012,RA000,GWH,,"48225,60400000001",,,
AT,2012,RA100,GWH,,"40795,605",,,
AT,2012,RA200,GWH,,"0,677",,,
AT,2012,RA300,GWH,,"2413,139",,,
AT,2012,RA410,GWH,,"0,0",,,
AT,2012,RA420,GWH,,"337,483",,,
AT,2012,RA500,GWH,,"0,0",,,
AT,2012,TOTAL,GWH,,,"71512,224",,
AT,2012,W6210,GWH,,"239,59799999999998",,,
AT,2013,E7000,GWH,"4403,564",,,"4655,954000000001","36535,278"
AT,2013,R5110-5150_W6000RI,GWH,,"3817,8309999999997",,,
AT,2013,R5292P,GWH,,"0,262",,,
AT,2013,R5292SB,GWH,,"0,0",,,
AT,2013,R5292SP,GWH,,"0,0",,,
AT,2013,R5293SB,GWH,,"0,0",,,
AT,2013,R5293SP,GWH,,"0,0",,,
AT,2013,R5300,GWH,,"622,7869999999999",,,
AT,2013,R5300B,GWH,,"0,0",,,
AT,2013,RA000,GWH,,"49520,508",,,
AT,2013,RA100,GWH,,"41191,232",,,
AT,2013,RA200,GWH,,"0,306",,,
AT,2013,RA300,GWH,,"3007,289",,,
AT,2013,RA410,GWH,,"0,0",,,
AT,2013,RA420,GWH,,"625,974",,,
AT,2013,RA500,GWH,,"0,0",,,
AT,2013,TOTAL,GWH,,,"71865,562",,
AT,2013,W6210,GWH,,"255,08900000000003",,,
AT,2014,E7000,GWH,"4375,092000000001",,,"4697,795","36530,708"
AT,2014,R5110-5150_W6000RI,GWH,,"3603,28",,,
AT,2014,R5292P,GWH,,"0,134",,,
AT,2014,R5292SB,GWH,,"0,0",,,
AT,2014,R5292SP,GWH,,"0,0",,,
AT,2014,R5293SB,GWH,,"0,0",,,
AT,2014,R5293SP,GWH,,"0,0",,,
AT,2014,R5300,GWH,,"613,294",,,
AT,2014,R5300B,GWH,,"0,0",,,
AT,2014,RA000,GWH,,"50369,98",,,
AT,2014,RA100,GWH,,"41228,503",,,
AT,2014,RA200,GWH,,"0,384",,,
AT,2014,RA300,GWH,,"3808,2540000000004",,,
AT,2014,RA410,GWH,,"0,0",,,
AT,2014,RA420,GWH,,"785,2460000000001",,,
AT,2014,RA500,GWH,,"0,0",,,
AT,2014,TOTAL,GWH,,,"70887,19900000001",,
AT,2014,W6210,GWH,,"331,019",,,
AT,2015,E7000,GWH,"3748,4509999999996",,,"4593,095","36559,594"
AT,2015,R5110-5150_W6000RI,GWH,,"3711,788",,,
AT,2015,R5292P,GWH,,"0,141",,,
AT,2015,R5292SB,GWH,,"0,0",,,
AT,2015,R5292SP,GWH,,"0,0",,,
AT,2015,R5293SB,GWH,,"0,0",,,
AT,2015,R5293SP,GWH,,"0,0",,,
AT,2015,R5300,GWH,,"633,524",,,
AT,2015,R5300B,GWH,,"0,0",,,
AT,2015,RA000,GWH,,"51416,242",,,
AT,2015,RA100,GWH,,"41152,689",,,
AT,2015,RA200,GWH,,"0,061",,,
AT,2015,RA300,GWH,,"4678,840999999999",,,
AT,2015,RA410,GWH,,"0,0",,,
AT,2015,RA420,GWH,,"937,0980000000001",,,
AT,2015,RA500,GWH,,"0,0",,,
AT,2015,TOTAL,GWH,,,"71926,267",,
AT,2015,W6210,GWH,,"302,241",,,
AT,2016,E7000,GWH,"3877,1929999999998",,,"4871,282","36429,096"
AT,2016,R5110-5150_W6000RI,GWH,,"3783,52",,,
AT,2016,R5292P,GWH,,"0,752",,,
AT,2016,R5292SB,GWH,,"0,0",,,
AT,2016,R5292SP,GWH,,"0,0",,,
AT,2016,R5293SB,GWH,,"0,0",,,
AT,2016,R5293SP,GWH,,"0,0",,,
AT,2016,R5300,GWH,,"665,712",,,
AT,2016,R5300B,GWH,,"0,0",,,
AT,2016,RA000,GWH,,"52525,847",,,
AT,2016,RA100,GWH,,"41300,378",,,
AT,2016,RA200,GWH,,"0,021",,,
AT,2016,RA300,GWH,,"5349,835999999999",,,
AT,2016,RA410,GWH,,"0,0",,,
AT,2016,RA420,GWH,,"1096,016",,,
AT,2016,RA500,GWH,,"0,0",,,
AT,2016,TOTAL,GWH,,,"72430,62599999999",,
AT,2016,W6210,GWH,,"330,36400000000003",,,
AT,2017,E7000,GWH,"2958,855",,,"4717,407","36114,44"
AT,2017,R5110-5150_W6000RI,GWH,,"3934,744",,,
AT,2017,R5292P,GWH,,"0,23199999999999998",,,
AT,2017,R5292SB,GWH,,"0,0",,,
AT,2017,R5292SP,GWH,,"0,0",,,
AT,2017,R5293SB,GWH,,"0,0",,,
AT,2017,R5293SP,GWH,,"0,0",,,
AT,2017,R5300,GWH,,"670,346",,,
AT,2017,R5300B,GWH,,"0,0",,,
AT,2017,RA000,GWH,,"52995,429000000004",,,
AT,2017,RA100,GWH,,"40831,847",,,
AT,2017,RA200,GWH,,"0,091",,,
AT,2017,RA300,GWH,,"5973,909000000001",,,
AT,2017,RA410,GWH,,"0,0",,,
AT,2017,RA420,GWH,,"1268,971",,,
AT,2017,RA500,GWH,,"0,0",,,
AT,2017,TOTAL,GWH,,,"73988,76299999999",,
AT,2017,W6210,GWH,,"315,52099999999996",,,
AT,2018,E7000,GWH,"3574,539",,,"4798,125","36541,301"
AT,2018,R5110-5150_W6000RI,GWH,,"3965,583",,,
AT,2018,R5292P,GWH,,"0,096",,,
AT,2018,R5292SB,GWH,,"0,0",,,
AT,2018,R5292SP,GWH,,"0,0",,,
AT,2018,R5293SB,GWH,,"0,0",,,
AT,2018,R5293SP,GWH,,"0,0",,,
AT,2018,R5300,GWH,,"628,313",,,
AT,2018,R5300B,GWH,,"0,0",,,
AT,2018,RA000,GWH,,"54032,682",,,
AT,2018,RA100,GWH,,"41339,425",,,
AT,2018,RA200,GWH,,"0,239",,,
AT,2018,RA300,GWH,,"6325,6759999999995",,,
AT,2018,RA410,GWH,,"0,0",,,
AT,2018,RA420,GWH,,"1437,641",,,
AT,2018,RA500,GWH,,"0,0",,,
AT,2018,TOTAL,GWH,,,"73965,965",,
AT,2018,W6210,GWH,,"335,80400000000003",,,
BA,2004,E7000,GWH,"0,0",,,"0,0","4222,126"
BA,2004,R5110-5150_W6000RI,GWH,,"0,0",,,
BA,2004,R5292P,GWH,,"0,0",,,
BA,2004,R5292SB,GWH,,"0,0",,,
BA,2004,R5292SP,GWH,,"0,0",,,
BA,2004,R5293SB,GWH,,"0,0",,,
BA,2004,R5293SP,GWH,,"0,0",,,
BA,2004,R5300,GWH,,"0,0",,,
