,geo,year,siec,unit,BIOG_G_ADJSHR,BIOG_G_SHR,BIOG_G_TRA,FC_IND_OTH_E,GFC_HEAT_CL_E,GHP_RED,PPRD_RED
168,AL,2012,R5293SB,KTOE,,,,,,"0,0",
169,AL,2012,R5293SP,KTOE,,,,,,"0,0",
170,AL,2012,R5300,KTOE,,,,"0,0",,"0,0",
171,AL,2012,R5300B,KTOE,,,,"0,0",,"0,0",
172,AL,2012,R5300B,PC,"0,0","0,0",,,,,
173,AL,2012,R5300B,TJ_GCV,,,"0,0",,,,
174,AL,2012,RA000,KTOE,,,,,"218,305",,
175,AL,2012,RA200,KTOE,,,,"0,0",,"0,0",
176,AL,2012,RA410,KTOE,,,,"11,799000000000001",,"0,0",
177,AL,2012,RA600,KTOE,,,,,,,"0,0"
178,AL,2012,TOTAL,KTOE,,,,,"558,33",,
179,AL,2012,W6210,KTOE,,,,"0,0",,"0,0",
180,AL,2013,R5110-5150_W6000RI,KTOE,,,,"201,49",,"0,0",
181,AL,2013,R5160,KTOE,,,,"0,0",,,
182,AL,2013,R5292,KTOE,,,,"0,0",,,
183,AL,2013,R5292P,KTOE,,,,,,"0,0",
184,AL,2013,R5292S,KTOE,,,,"0,0",,,
185,AL,2013,R5292SB,KTOE,,,,,,"0,0",
186,AL,2013,R5292SP,KTOE,,,,,,"0,0",
187,AL,2013,R5293S,KTOE,,,,"0,0",,,
188,AL,2013,R5293SB,KTOE,,,,,,"0,0",
189,AL,2013,R5293SP,KTOE,,,,,,"0,0",
190,AL,2013,R5300,KTOE,,,,"0,0",,"0,0",
191,AL,2013,R5300B,KTOE,,,,"0,0",,"0,0",
192,AL,2013,R5300B,PC,"0,0","0,0",,,,,
193,AL,2013,R5300B,TJ_GCV,,,"0,0",,,,
194,AL,2013,RA000,KTOE,,,,,"213,385",,
195,AL,2013,RA200,KTOE,,,,"0,0",,"0,0",
196,AL,2013,RA410,KTOE,,,,"11,895",,"0,0",
197,AL,2013,RA600,KTOE,,,,,,,"0,0"
198,AL,2013,TOTAL,KTOE,,,,,"565,02",,
199,AL,2013,W6210,KTOE,,,,"0,0",,"0,0",
