geo,year,siec,fuel,unit,electricity_consumption,heat_consumption,transport_consumption,all_sectors_consumption
AT,2014,R5300,Biogases,KTOE,"52,73379191745486","48,92100000000001","0,55","102,20479191745487"
AT,2014,RA000,Renewables and biofuels,KTOE,"4331,038693035253","4332,527","725,552","9389,117693035252"
AT,2014,TOTAL,Total,KTOE,"70887,19900000001","12899,076","8049,1","91835,37500000001"
AT,2014,W6210,Renewable municipal waste,KTOE,"28,46251074806535","50,63",,"79,09251074806535"
AT,2015,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"319,1563198624247","3915,1639999999998",,"4234,320319862424"
AT,2015,R5200,Liquid biofuels,KTOE,,,"653,1269999999998","653,1269999999998"
AT,2015,R5300,Biogases,KTOE,"54,47325881341359","49,867999999999995","0,416","104,75725881341359"
AT,2015,RA000,Renewables and biofuels,KTOE,"4421,001031814273","4491,745","823,6360000000002","9736,382031814273"
AT,2015,TOTAL,Total,KTOE,"71926,267","13484,076","8251,089","93661,432"
AT,2015,W6210,Renewable municipal waste,KTOE,"25,988048151332762","57,417",,"83,40504815133276"
AT,2016,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"325,32416165090285","4025,744",,"4351,068161650903"
AT,2016,R5200,Liquid biofuels,KTOE,,,"543,1","543,1"
AT,2016,R5300,Biogases,KTOE,"57,240928632846085","53,957","0,411","111,60892863284609"
AT,2016,RA000,Renewables and biofuels,KTOE,"4516,409888220121","4632,803","719,326","9868,538888220122"
AT,2016,TOTAL,Total,KTOE,"72430,62599999999","13847,797","8426,108","94704,53099999999"
AT,2016,W6210,Renewable municipal waste,KTOE,"28,40619088564059","61,776",,"90,1821908856406"
AT,2017,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"338,3270851246775","4140,911",,"4479,238085124678"
AT,2017,R5200,Liquid biofuels,KTOE,,,"478,17699999999996","478,17699999999996"
AT,2017,R5300,Biogases,KTOE,"57,63938091143594","55,805","0,275","113,71938091143595"
AT,2017,RA000,Renewables and biofuels,KTOE,"4556,786672398967","4783,703","646,697","9987,186672398968"
AT,2017,TOTAL,Total,KTOE,"73988,76299999999","14206,063999999997","8522,774","96717,601"
AT,2017,W6210,Renewable municipal waste,KTOE,"27,129922613929494","65,469",,"92,59892261392949"
AT,2018,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"340,9787618228719","3887,862",,"4228,840761822872"
AT,2018,R5200,Liquid biofuels,KTOE,,,"471,46700000000004","471,46700000000004"
AT,2018,R5300,Biogases,KTOE,"54,02519346517627","44,499","0,378","98,90219346517627"
AT,2018,RA000,Renewables and biofuels,KTOE,"4645,97437661221","4547,404","664,53","9857,908376612211"
AT,2018,TOTAL,Total,KTOE,"73965,965","13382,934","8608,919","95957,81799999998"
AT,2018,W6210,Renewable municipal waste,KTOE,"28,87394668959588","64,277",,"93,15094668959588"
BA,2004,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","182,072",,"182,072"
BA,2004,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2004,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2004,RA000,Renewables and biofuels,KTOE,"363,0374892519347","182,072","0,0","545,1094892519347"
BA,2004,TOTAL,Total,KTOE,"10456,0","966,35","787,738","12210,088"
BA,2004,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2005,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","181,738",,"181,738"
BA,2005,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2005,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2005,RA000,Renewables and biofuels,KTOE,"379,02631126397245","181,738","0,0","560,7643112639724"
BA,2005,TOTAL,Total,KTOE,"10907,0","1098,997","758,9810000000001","12764,978"
BA,2005,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2006,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","181,499",,"181,499"
BA,2006,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2006,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2006,RA000,Renewables and biofuels,KTOE,"384,6668959587274","181,499","0,0","566,1658959587274"
BA,2006,TOTAL,Total,KTOE,"11185,0","1005,122","948,983","13139,105"
BA,2006,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2007,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","181,212",,"181,212"
BA,2007,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2007,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2007,RA000,Renewables and biofuels,KTOE,"390,17076526225276","181,212","0,0","571,3827652622527"
BA,2007,TOTAL,Total,KTOE,"11174,0","1076,434","1002,388","13252,822"
BA,2007,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2008,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","180,042",,"180,042"
BA,2008,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2008,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2008,RA000,Renewables and biofuels,KTOE,"405,2052450558899","180,042","3,233","588,4802450558899"
BA,2008,TOTAL,Total,KTOE,"13178,0","1276,597","1118,31","15572,907"
BA,2008,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2009,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","179,851",,"179,851"
BA,2009,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2009,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2009,RA000,Renewables and biofuels,KTOE,"423,53869303525363","179,851","3,422","606,8116930352537"
BA,2009,TOTAL,Total,KTOE,"12678,0","1057,398","1154,6","14889,998"
BA,2009,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2010,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","179,25300000000004",,"179,25300000000004"
BA,2010,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2010,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2010,RA000,Renewables and biofuels,KTOE,"463,8537403267413","179,25400000000005","4,182","647,2897403267414"
BA,2010,TOTAL,Total,KTOE,"13295,0","1205,299","1128,0839999999996","15628,382999999998"
BA,2010,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2011,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","178,96699999999998",,"178,96699999999998"
BA,2011,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2011,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2011,RA000,Renewables and biofuels,KTOE,"459,79174548581267","178,967","4,644","643,4027454858127"
BA,2011,TOTAL,Total,KTOE,"13776,0","1276,758","1128,341","16181,099"
