siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,SK	458.536 	394.215 	387.862 	445.257 	367.226 	291.917 	320.460 	423.665 	423.283 	436.921 	338.731 	364.383 	267.985 	313.533 	310.046 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,TR	1590.960 	2361.995 	2588.994 	2804.003 	3115.004 	3281.456 	3452.709 	3531.074 	4435.034 	4576.693 	4755.589 	4985.383 	5125.752 	5323.899 	5530.787 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,UK	3038.287 	2712.477 	2660.385 	2479.101 	2186.395 	2139.940 	1621.835 	1395.600 	1533.940 	1206.578 	1134.542 	498.328 	439.238 	390.346 	396.986 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,XK	377.152 	371.167 	365.888 	263.423 	251.457 	247.659 	247.492 	241.951 	236.338 	234.714 	233.114 	216.323 	216.299 	216.299 	216.299 
R5110-5150_W6000RI,GHP_RED,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,AT	871.660 	902.131 	847.381 	846.176 	805.067 	836.869 	838.954 	763.560 	722.770 	580.464 	530.559 	407.703 	335.334 	263.837 	250.669 
R5110-5150_W6000RI,GHP_RED,KTOE,BA	25.103 	16.050 	13.614 	10.485 	2.699 	3.941 	2.842 	3.224 	3.439 	2.365 	3.105 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,BE	6.126 	6.735 	6.365 	5.876 	7.426 	7.261 	7.548 	7.046 	6.974 	6.353 	6.473 	1.338 	0.096 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,BG	108.592 	13.946 	14.522 	10.867 	7.404 	2.938 	4.753 	5.565 	1.887 	1.457 	2.627 	0.024 	0.645 	0.740 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,CZ	161.939 	171.034 	160.672 	153.196 	139.032 	119.495 	70.316 	71.367 	58.708 	49.847 	45.428 	40.078 	37.762 	52.403 	145.242 
R5110-5150_W6000RI,GHP_RED,KTOE,DE	563.557 	609.081 	616.413 	583.190 	537.427 	534.012 	556.105 	445.758 	380.744 	337.848 	260.342 	209.587 	198.959 	192.796 	169.198 
R5110-5150_W6000RI,GHP_RED,KTOE,DK	1363.741 	1352.597 	1134.402 	1047.447 	996.253 	986.549 	936.846 	833.536 	841.648 	607.505 	534.609 	504.060 	477.429 	487.652 	440.384 
R5110-5150_W6000RI,GHP_RED,KTOE,EA19	6200.565 	6304.956 	6094.716 	5505.615 	5283.697 	5135.375 	4656.919 	3948.656 	3701.610 	2992.554 	2780.396 	2418.251 	2282.960 	2059.877 	1988.427 
R5110-5150_W6000RI,GHP_RED,KTOE,EE	315.969 	296.456 	307.562 	214.961 	181.905 	192.868 	178.824 	168.960 	140.728 	126.612 	78.580 	79.177 	88.588 	91.048 	83.381 
R5110-5150_W6000RI,GHP_RED,KTOE,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,EU27_2020	10849.319 	10852.555 	10418.117 	9522.084 	9190.742 	9111.127 	8657.274 	7283.673 	7562.462 	6034.041 	5698.950 	5189.532 	5154.389 	4902.310 	4670.523 
R5110-5150_W6000RI,GHP_RED,KTOE,EU28	10944.135 	10934.999 	10497.682 	9600.453 	9193.393 	9115.379 	8690.044 	7306.889 	7563.393 	6049.542 	5700.048 	5189.532 	5154.389 	4902.310 	4670.523 
R5110-5150_W6000RI,GHP_RED,KTOE,FI	1594.464 	1706.148 	1759.625 	1611.780 	1685.106 	1724.539 	1666.714 	1463.576 	1523.335 	1224.085 	1254.443 	1135.402 	1257.906 	1117.655 	1126.206 
R5110-5150_W6000RI,GHP_RED,KTOE,FR	1121.987 	1116.593 	1059.458 	868.981 	764.334 	675.938 	484.506 	407.038 	327.673 	265.501 	205.814 	184.723 	9.196 	6.306 	0.000 
