siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
E7100,FC_TRA_OTH_E_RED,KTOE,SK	1.738 	1.683 	1.751 	1.547 	1.493 	0.983 	2.180 	1.316 	1.197 	1.200 	1.075 	1.015 	0.955 	1.064 	1.105 
E7100,FC_TRA_OTH_E_RED,KTOE,TR	4.995 	8.810 	7.152 	6.682 	4.106 	3.555 	4.376 	4.444 	3.935 	4.172 	15.695 	15.972 	13.550 	12.543 	12.015 
E7100,FC_TRA_OTH_E_RED,KTOE,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_RAIL_E_RED,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_RAIL_E_RED,KTOE,AT	126.050 	125.388 	123.481 	119.636 	116.336 	117.751 	117.441 	126.819 	126.967 	121.670 	122.175 	114.835 	114.995 	112.657 	119.912 
E7100,FC_TRA_RAIL_E_RED,KTOE,BA	2.071 	2.682 	2.566 	3.063 	2.535 	2.804 	3.733 	4.644 	4.182 	3.422 	3.233 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_RAIL_E_RED,KTOE,BE	41.180 	40.200 	38.448 	35.879 	33.134 	32.050 	28.218 	27.593 	26.555 	25.070 	24.340 	23.380 	21.629 	22.857 	20.496 
E7100,FC_TRA_RAIL_E_RED,KTOE,BG	7.031 	7.761 	6.757 	6.257 	4.175 	3.913 	4.251 	4.501 	4.676 	5.482 	5.054 	5.316 	5.376 	5.636 	5.745 
E7100,FC_TRA_RAIL_E_RED,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_RAIL_E_RED,KTOE,CZ	42.205 	40.165 	37.878 	34.700 	31.542 	29.923 	27.668 	26.739 	24.257 	23.643 	23.498 	23.366 	22.829 	23.020 	23.334 
E7100,FC_TRA_RAIL_E_RED,KTOE,DE	329.109 	313.337 	281.921 	241.019 	233.201 	214.677 	188.969 	182.856 	157.743 	137.273 	114.284 	111.512 	102.942 	106.624 	104.681 
E7100,FC_TRA_RAIL_E_RED,KTOE,DK	18.617 	17.953 	17.387 	14.707 	12.817 	11.907 	10.837 	9.646 	9.010 	8.491 	7.790 	7.545 	7.680 	7.659 	7.557 
E7100,FC_TRA_RAIL_E_RED,KTOE,EA19	1136.081 	1112.946 	1061.716 	971.468 	904.379 	849.318 	779.006 	763.359 	682.898 	627.932 	599.219 	566.438 	542.550 	563.749 	565.219 
E7100,FC_TRA_RAIL_E_RED,KTOE,EE	0.259 	0.331 	0.296 	0.300 	0.281 	0.221 	0.220 	0.213 	0.223 	0.182 	0.189 	0.183 	0.191 	0.191 	0.191 
E7100,FC_TRA_RAIL_E_RED,KTOE,EL	4.638 	4.177 	4.020 	4.202 	3.656 	2.107 	1.044 	1.014 	0.734 	1.367 	1.249 	1.537 	1.064 	0.751 	1.487 
E7100,FC_TRA_RAIL_E_RED,KTOE,ES	114.711 	115.999 	116.571 	115.862 	104.109 	96.055 	93.278 	89.255 	62.503 	53.345 	51.293 	44.650 	39.721 	59.574 	55.512 
