siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
E7000,NMLPRD_MIX,GWH,EL	559.722 	560.353 	560.830 	533.049 	501.343 	511.213 	498.572 	501.502 	508.195 	476.631 	434.057 	411.954 	389.387 	351.470 	303.437 
E7000,NMLPRD_MIX,GWH,ES	2114.326 	2233.085 	2181.722 	2344.612 	2354.810 	2259.150 	2553.220 	2634.103 	2741.991 	2765.180 	2876.196 	2909.189 	2723.203 	2828.948 	3080.982 
E7000,NMLPRD_MIX,GWH,EU27_2020	17035.017 	17347.227 	17326.970 	16845.616 	16671.280 	16460.664 	16679.100 	16597.032 	16698.732 	16398.894 	16349.418 	16060.907 	15899.256 	15739.469 	15514.649 
E7000,NMLPRD_MIX,GWH,EU28	17035.017 	17347.227 	17326.970 	16845.616 	16671.280 	16460.664 	16679.100 	16597.032 	16698.732 	16398.894 	16349.418 	16060.907 	15899.256 	15739.469 	15514.649 
E7000,NMLPRD_MIX,GWH,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,FR	3472.076 	3633.972 	3621.093 	3699.853 	3694.561 	3750.597 	3685.331 	3727.922 	3781.236 	3811.709 	3893.558 	4017.513 	4054.311 	4065.812 	4025.827 
E7000,NMLPRD_MIX,GWH,HR	346.340 	347.162 	353.372 	349.868 	357.138 	352.988 	339.126 	338.333 	361.072 	333.640 	307.680 	285.953 	272.820 	253.813 	228.540 
E7000,NMLPRD_MIX,GWH,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,IT	2121.101 	2067.027 	2049.185 	2259.139 	2257.342 	2194.762 	2164.734 	2177.890 	2134.500 	2069.216 	2032.315 	2022.744 	2056.921 	1813.870 	1742.792 
E7000,NMLPRD_MIX,GWH,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,NL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,NO	2300.922 	2496.272 	2507.592 	2264.433 	2204.371 	2381.623 	2539.933 	2633.613 	2842.501 	2950.800 	2944.069 	2883.494 	3041.847 	3029.584 	3040.593 
E7000,NMLPRD_MIX,GWH,PL	240.149 	238.090 	241.768 	249.879 	256.892 	259.540 	267.785 	275.521 	282.666 	279.638 	279.278 	277.198 	276.756 	272.706 	246.014 
E7000,NMLPRD_MIX,GWH,PT	2399.113 	2539.406 	2389.340 	1756.635 	1453.408 	1343.201 	1330.827 	1128.113 	1168.402 	1103.559 	1138.925 	1156.115 	1131.312 	1138.479 	963.659 
E7000,NMLPRD_MIX,GWH,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
