id,geo,year,siec,unit,GEP_NPUMP_MIX,GEP_RED,GFC_ELC,NMLPRD_MIX,NMLPRD_PURE
2410,DK,2017,TOTAL,GWH,,,"35604,439",,
2411,DK,2017,W6210,GWH,,"883,6210000000001",,,
2412,DK,2018,E7000,GWH,"0,0",,,"0,0","20,117"
2413,DK,2018,R5110-5150_W6000RI,GWH,,"4417,779",,,
2414,DK,2018,R5292P,GWH,,"1,423",,,
2415,DK,2018,R5292SB,GWH,,"0,0",,,
2416,DK,2018,R5292SP,GWH,,"0,0",,,
2417,DK,2018,R5293SB,GWH,,"0,0",,,
2418,DK,2018,R5293SP,GWH,,"0,0",,,
2419,DK,2018,R5300,GWH,,"619,795",,,
2420,DK,2018,R5300B,GWH,,"122,016",,,
2421,DK,2018,RA000,GWH,,"22226,942000000003",,,
2422,DK,2018,RA100,GWH,,"20,117",,,
2423,DK,2018,RA200,GWH,,"0,0",,,
2424,DK,2018,RA300,GWH,,"15234,188",,,
2425,DK,2018,RA410,GWH,,"0,0",,,
2426,DK,2018,RA420,GWH,,"952,9730000000001",,,
2427,DK,2018,RA500,GWH,,"0,0",,,
2428,DK,2018,TOTAL,GWH,,,"35600,927",,
2429,DK,2018,W6210,GWH,,"860,074",,,
2430,EA19,2004,E7000,GWH,"14641,198",,,"14744,628999999999","227864,775"
2431,EA19,2004,R5110-5150_W6000RI,GWH,,"25658,447999999997",,,
2432,EA19,2004,R5292P,GWH,,"536,065",,,
2433,EA19,2004,R5292SB,GWH,,"0,0",,,
2434,EA19,2004,R5292SP,GWH,,"0,0",,,
2435,EA19,2004,R5293SB,GWH,,"0,0",,,
2436,EA19,2004,R5293SP,GWH,,"0,0",,,
2437,EA19,2004,R5300,GWH,,"6503,001",,,
2438,EA19,2004,R5300B,GWH,,"17,000999999999998",,,
2439,EA19,2004,RA000,GWH,,"338348,279",,,
2440,EA19,2004,RA100,GWH,,"242609,40399999998",,,
2441,EA19,2004,RA200,GWH,,"5523,469",,,
2442,EA19,2004,RA300,GWH,,"48814,344000000005",,,
2443,EA19,2004,RA410,GWH,,"0,0",,,
2444,EA19,2004,RA420,GWH,,"686,6469999999999",,,
2445,EA19,2004,RA500,GWH,,"470,176",,,
2446,EA19,2004,TOTAL,GWH,,,"2320196,305",,
2447,EA19,2004,W6210,GWH,,"7529,724",,,
2448,EA19,2005,E7000,GWH,"10985,781",,,"14890,483","227932,913"
2449,EA19,2005,R5110-5150_W6000RI,GWH,,"28297,642000000003",,,
2450,EA19,2005,R5292P,GWH,,"1702,856",,,
2451,EA19,2005,R5292SB,GWH,,"0,0",,,
2452,EA19,2005,R5292SP,GWH,,"0,0",,,
2453,EA19,2005,R5293SB,GWH,,"0,0",,,
2454,EA19,2005,R5293SP,GWH,,"0,0",,,
2455,EA19,2005,R5300,GWH,,"7422,023",,,
2456,EA19,2005,R5300B,GWH,,"17,222",,,
2457,EA19,2005,RA000,GWH,,"356271,12700000004",,,
2458,EA19,2005,RA100,GWH,,"242823,395",,,
2459,EA19,2005,RA200,GWH,,"5397,673000000001",,,
2460,EA19,2005,RA300,GWH,,"59669,578",,,
2461,EA19,2005,RA410,GWH,,"0,0",,,
2462,EA19,2005,RA420,GWH,,"1454,1470000000002",,,
2463,EA19,2005,RA500,GWH,,"480,895",,,
2464,EA19,2005,TOTAL,GWH,,,"2349006,621",,
2465,EA19,2005,W6210,GWH,,"9005,696",,,
2466,EA19,2006,E7000,GWH,"12191,086000000001",,,"15003,348","226322,712"
2467,EA19,2006,R5110-5150_W6000RI,GWH,,"32174,826",,,
2468,EA19,2006,R5292P,GWH,,"2672,292",,,
2469,EA19,2006,R5292SB,GWH,,"0,0",,,
2470,EA19,2006,R5292SP,GWH,,"0,0",,,
2471,EA19,2006,R5293SB,GWH,,"0,0",,,
2472,EA19,2006,R5293SP,GWH,,"0,0",,,
2473,EA19,2006,R5300,GWH,,"9443,043",,,
2474,EA19,2006,R5300B,GWH,,"17,715",,,
2475,EA19,2006,RA000,GWH,,"375745,765",,,
2476,EA19,2006,RA100,GWH,,"241326,05899999998",,,
2477,EA19,2006,RA200,GWH,,"5615,65",,,
2478,EA19,2006,RA300,GWH,,"71577,685",,,
2479,EA19,2006,RA410,GWH,,"0,0",,,
2480,EA19,2006,RA420,GWH,,"2484,448",,,
2481,EA19,2006,RA500,GWH,,"464,265",,,
2482,EA19,2006,TOTAL,GWH,,,"2377988,318",,
2483,EA19,2006,W6210,GWH,,"9969,782",,,
2484,EA19,2007,E7000,GWH,"13808,986",,,"15142,956","225800,198"
2485,EA19,2007,R5110-5150_W6000RI,GWH,,"32604,78",,,
2486,EA19,2007,R5292P,GWH,,"1339,342",,,
2487,EA19,2007,R5292SB,GWH,,"0,0",,,
2488,EA19,2007,R5292SP,GWH,,"0,0",,,
2489,EA19,2007,R5293SB,GWH,,"0,0",,,
2490,EA19,2007,R5293SP,GWH,,"0,0",,,
2491,EA19,2007,R5300,GWH,,"15118,016000000001",,,
2492,EA19,2007,R5300B,GWH,,"18,18",,,
2493,EA19,2007,RA000,GWH,,"398093,43100000004",,,
2494,EA19,2007,RA100,GWH,,"240943,155",,,
2495,EA19,2007,RA200,GWH,,"5772,528",,,
2496,EA19,2007,RA300,GWH,,"86992,179",,,
2497,EA19,2007,RA410,GWH,,"8,01",,,
2498,EA19,2007,RA420,GWH,,"3758,8909999999996",,,
2499,EA19,2007,RA500,GWH,,"465,292",,,
2500,EA19,2007,TOTAL,GWH,,,"2395556,547",,
2501,EA19,2007,W6210,GWH,,"11073,059",,,
2502,EA19,2008,E7000,GWH,"13061,213",,,"15397,928","226147,497"
2503,EA19,2008,R5110-5150_W6000RI,GWH,,"36107,869",,,
2504,EA19,2008,R5292P,GWH,,"1754,81",,,
2505,EA19,2008,R5292SB,GWH,,"0,0",,,
2506,EA19,2008,R5292SP,GWH,,"0,0",,,
2507,EA19,2008,R5293SB,GWH,,"0,0",,,
2508,EA19,2008,R5293SP,GWH,,"0,0",,,
2509,EA19,2008,R5300,GWH,,"18176,174",,,
2510,EA19,2008,R5300B,GWH,,"17,236",,,
2511,EA19,2008,RA000,GWH,,"424471,649",,,
2512,EA19,2008,RA100,GWH,,"241545,425",,,
2513,EA19,2008,RA200,GWH,,"5731,578",,,
2514,EA19,2008,RA300,GWH,,"101776,758",,,
2515,EA19,2008,RA410,GWH,,"16,147000000000002",,,
2516,EA19,2008,RA420,GWH,,"7400,812",,,
2517,EA19,2008,RA500,GWH,,"465,119",,,
2518,EA19,2008,TOTAL,GWH,,,"2409522,451",,
2519,EA19,2008,W6210,GWH,,"11479,722",,,
2520,EA19,2009,E7000,GWH,"13637,485",,,"15398,149","225605,568"
2521,EA19,2009,R5110-5150_W6000RI,GWH,,"36811,56",,,
2522,EA19,2009,R5292P,GWH,,"3553,8940000000002",,,
2523,EA19,2009,R5292SB,GWH,,"0,0",,,
2524,EA19,2009,R5292SP,GWH,,"0,0",,,
2525,EA19,2009,R5293SB,GWH,,"0,0",,,
2526,EA19,2009,R5293SP,GWH,,"0,0",,,
2527,EA19,2009,R5300,GWH,,"21017,959",,,
2528,EA19,2009,R5300B,GWH,,"17,881",,,
2529,EA19,2009,RA000,GWH,,"450521,45700000005",,,
2530,EA19,2009,RA100,GWH,,"241003,717",,,
2531,EA19,2009,RA200,GWH,,"5546,27",,,
2532,EA19,2009,RA300,GWH,,"116526,263",,,
2533,EA19,2009,RA410,GWH,,"103,0",,,
